"지점","시작일","종료일","지점명","지점주소","관리관서","위도","경도","노장해발고도(m)","기압계(관측장비지상높이(m))","기온계(관측장비지상높이(m))","풍속계(관측장비지상높이(m))","강우계(관측장비지상높이(m))"
"3","1900-01-01 00:00:00",\N,"선봉",\N,\N,"42.3167","130.4","3",\N,\N,\N,\N
"5","1900-01-01 00:00:00",\N,"삼지연",\N,\N,"41.8167","128.3167","1386",\N,\N,\N,\N
"8","1900-01-01 00:00:00",\N,"청진",\N,\N,"41.7833","129.8167","43",\N,\N,\N,\N
"12","2007-11-30 00:00:00",\N,"안면도(감)",\N,\N,"36.5333","126.3167","60",\N,\N,\N,\N
"13","2012-01-01 00:00:00",\N,"고산센터",\N,\N,"33.3","126.16","71",\N,\N,\N,\N
"14","1900-01-01 00:00:00",\N,"중강",\N,\N,"41.7833","126.8833","332",\N,\N,\N,\N
"16","1900-01-01 00:00:00",\N,"혜산",\N,\N,"41.4","128.1667","714",\N,\N,\N,\N
"20","1900-01-01 00:00:00",\N,"강계",\N,\N,"40.9667","126.6","306",\N,\N,\N,\N
"22","1900-01-01 00:00:00",\N,"풍산",\N,\N,"40.8167","128.15","1206",\N,\N,\N,\N
"25","1900-01-01 00:00:00",\N,"김책",\N,\N,"40.6667","129.2","23",\N,\N,\N,\N
"28","1900-01-01 00:00:00",\N,"수풍",\N,\N,"40.45","124.9333","83",\N,\N,\N,\N
"31","1900-01-01 00:00:00",\N,"장진",\N,\N,"40.3667","127.25","1081",\N,\N,\N,\N
"35","1900-01-01 00:00:00",\N,"신의주",\N,\N,"40.1","124.3833","7",\N,\N,\N,\N
"37","1900-01-01 00:00:00",\N,"구성",\N,\N,"39.9833","125.25","99",\N,\N,\N,\N
"39","1900-01-01 00:00:00",\N,"희천",\N,\N,"40.1667","126.25","155",\N,\N,\N,\N
"41","1900-01-01 00:00:00",\N,"함흥",\N,\N,"39.9333","127.55","38",\N,\N,\N,\N
"46","1900-01-01 00:00:00",\N,"신포",\N,\N,"40.0333","128.1833","19",\N,\N,\N,\N
"50","1900-01-01 00:00:00",\N,"안주",\N,\N,"39.6167","125.65","27",\N,\N,\N,\N
"52","1900-01-01 00:00:00",\N,"양덕",\N,\N,"39.1667","126.8333","279",\N,\N,\N,\N
"55","1900-01-01 00:00:00",\N,"원산",\N,\N,"39.1833","127.4333","36",\N,\N,\N,\N
"58","1900-01-01 00:00:00",\N,"평양",\N,\N,"39.0333","125.7833","38",\N,\N,\N,\N
"60","1900-01-01 00:00:00",\N,"남포",\N,\N,"38.7167","125.3667","47",\N,\N,\N,\N
"61","1900-01-01 00:00:00",\N,"장전",\N,\N,"38.7333","128.1833","35",\N,\N,\N,\N
"65","1900-01-01 00:00:00",\N,"사리원",\N,\N,"38.5167","125.7667","52",\N,\N,\N,\N
"67","1900-01-01 00:00:00",\N,"신계",\N,\N,"38.5","126.5333","100",\N,\N,\N,\N
"68","1900-01-01 00:00:00",\N,"용연",\N,\N,"38.2","124.8833","5",\N,\N,\N,\N
"69","1900-01-01 00:00:00",\N,"해주",\N,\N,"38.0333","125.7","81",\N,\N,\N,\N
"70","1900-01-01 00:00:00",\N,"개성",\N,\N,"37.9667","126.5667","70",\N,\N,\N,\N
"75","1900-01-01 00:00:00",\N,"평강",\N,\N,"38.4","127.3","371",\N,\N,\N,\N
"90","2006-12-08 00:00:00",\N,"속초","강원특별자치도 고성군토성면 봉포5길9 속초자동기상관측소 ","강릉(구 105)","38.2509","128.5647","18.06",\N,\N,\N,\N
"90","1968-01-01 00:00:00",\N,"속초","강원특별자치도 고성군토성면 봉포5길9 속초자동기상관측소 ","속초기상대(90)","38.2509","128.5647","17.53","18.73","1.7","10","1.4"
"92","2002-02-25 00:00:00",\N,"양양공항",\N,\N,"38.0667","128.6667","75.4","72","1.5","10","0.5"
"93","2016-09-30 00:00:00",\N,"북춘천","강원특별자치도 춘천시신북읍 산천리264(장본1길 12) 춘천기상대","춘천기상대(101)","37.9475","127.7547","95.61",\N,\N,\N,\N
"93","2016-10-01 00:00:00",\N,"북춘천","강원특별자치도 춘천시신북읍 산천리264(장본1길 12) 춘천기상대","춘천기상대(101)","37.9474","127.7544","95.78","96.78","1.5","10","1.4"
"94","2004-05-18 00:00:00",\N,"광덕산",\N,"춘천기상대(101)","38.1172","127.4333","1066",\N,\N,\N,\N
"95","1988-01-01 00:00:00",\N,"철원","강원특별자치도 철원군갈말읍 명성로179번길 26 철원자동기상관측소","춘천기상대(101)","38.1479","127.3042","155.48","156.98","1.8","13","1.5"
"96","2020-10-23 00:00:00",\N,"독도","경상북도 울릉군울릉읍 독도이사부길63  ","울릉도기상대(115)","37.2395","131.8698","99.08",\N,\N,\N,\N
"96","2009-10-27 00:00:00","2020-10-23 00:00:00","독도","경상북도 울릉군울릉읍 독도이사부길63  ","울릉도기상대(115)","37.2395","131.8698","96.15",\N,\N,\N,\N
"98","1998-02-01 00:00:00",\N,"동두천","경기도 동두천시방죽로 16-47동두천서비스센터  ","수도권기상청(119)","37.9019","127.0607","115.62","116.74","1.7","10","1"
"99","2013-10-22 00:00:00",\N,"파주","경기도 파주시문산읍 마정로46-29(파주기상대)  ","수도권기상청(119)","37.8859","126.7665","30.59","31.99","1.7","10","1"
"99","2001-12-07 00:00:00","2013-10-22 00:00:00","파주","경기도 파주시문산읍 마정로46-29(파주기상대)  ","파주기상대(99)","37.8859","126.7665","29.42","31.4","1.7","10","0.5"
"100","2006-11-07 00:00:00",\N,"대관령","강원특별자치도 평창군대관령면 경강로5372 대관령자동기상관측소 ","대관령기상대(100)","37.6771","128.7183","772.43","773.43","1.7","10","1.4"
"100","2005-04-28 00:00:00",\N,"대관령","강원특별자치도 평창군대관령면 경강로5372 대관령자동기상관측소 ","강릉(구 105)","37.6771","128.7183","772.57",\N,\N,\N,\N
"100","1971-07-15 00:00:00","2006-11-07 00:00:00","대관령","강원특별자치도 평창군대관령면 경강로5372 대관령자동기상관측소 ",\N,"37.6869","128.7587","842.52","843.96","1.5","10","1.6"
"101","1966-01-01 00:00:00",\N,"춘천","강원특별자치도 춘천시충열로 91번길12 춘천자동기상관측소 ","춘천기상대(101)","37.9026","127.7357","75.82","77.05","1.5","10","1.4"
"101","2006-12-08 00:00:00","2016-09-29 00:00:00","춘천","강원특별자치도 춘천시충열로 91번길12 춘천자동기상관측소 ","춘천기상대(101)","37.9026","127.7357","76.47",\N,\N,\N,\N
"102","2018-05-01 00:00:00",\N,"백령도","인천광역시 옹진군백령면 진촌리1031  ","백령도기상대(102)","37.974","124.7124","36",\N,\N,\N,\N
"102","2015-06-17 00:00:00","2018-05-01 00:00:00","백령도","인천광역시 옹진군백령면 진촌리1031  ","백령도기상대(102)","37.9661","124.6305","146",\N,\N,"9.4",\N
"102","2000-11-01 00:00:00","2018-05-01 00:00:00","백령도","인천광역시 옹진군백령면 진촌리1031  ","백령도기상대(102)","37.9661","124.6305","146","147.2","1.8","9","1.2"
"102","2003-03-22 00:00:00","2018-05-01 00:00:00","백령도","인천광역시 옹진군백령면 진촌리1031  ","백령도기상대(102)","37.9661","124.6305","144.86",\N,\N,\N,\N
"102","2000-01-31 00:00:00","2015-06-17 00:00:00","백령도","인천광역시 옹진군백령면 진촌리1031  ","백령도기상대(102)","37.9661","124.6305","144.86",\N,\N,"9.4",\N
"104","2008-07-28 00:00:00",\N,"북강릉","강원특별자치도 강릉시사천면 과학단지로130 강원지방기상청 ","강릉(구 105)","37.8046","128.8554","75.24","76.67","1.7","10","1.4"
"105","1911-10-03 00:00:00",\N,"강릉","강원특별자치도 강릉시용강동 63-20강릉자동기상관측소  ","강릉(구 105)","37.7515","128.891","27.12","28.22","1.7","10","0.5"
"106","1992-05-01 00:00:00",\N,"동해","강원특별자치도 동해시중앙로 31동해자동기상관측소  ","동해기상대(106)","37.5071","129.1243","40.46","41.66","1.7","10","1.4"
"108","2010-08-16 00:00:00",\N,"서울","서울특별시 종로구송월길 52서울기상관측소  ",\N,"37.5714","126.9658","85.8",\N,\N,\N,\N
